Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Challenge/Removal,Ban Status,Initiating Action
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Lake Mills Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Lisbon Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Madrid Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Maquoketa Valley Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Marshalltown Community School District,September 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Mason City Community Schools,October 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Mediapolis Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Melcher-Dallas Community School District,December 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Mid-Prairie Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Nevada Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,New Hampton Community Schools,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Nodaway Valley Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Ottumwa Community School District,January 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Pocahontas Area Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Red Oak School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Riceville Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Rudd-Rockford-Marble Rock Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Shenandoah Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Sigourney Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Solon Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,South Central Calhoun Community School District,June 2024,Banned by restriction,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,South Hamilton Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,South Tama County Community School District,December 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Spirit Lake Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Springville Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,St. Ansgar Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Tripoli Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Turkey Valley Community School District,June 2024,Banned,Administration
